Identyfikator problemu,Opis,Stan,Ważność,Punkty scenariusza,Ścieżka projektu,Rodzaj lokalizacji,ŚCIEŻKA,Wiersz,Kolumna,Identyfikator zdarzenia,Link pomocy,Nazwa zestawu,Wersja zestawu,Klucz publiczny zestawu,Fragment kodu
NuGet.0001,Pakiet NuGet jest niezgodny,Active,Mandatory,1,Simulator\Commons\Commons.csproj,File,simulator\Commons\Commons.csproj,,,opendnp3 2.2.0-M1,,,,,"opendnp3, 2.2.0-M1  Rekomendacja:  opendnp3, 3.1.2"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Simulator\Commons\Commons.csproj,File,simulator\Commons\Commons.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Simulator\Commons\Commons.csproj,File,simulator\Commons\Commons.csproj,,,,,,,,Bieżąca struktura docelowa: net7.0 Zalecana struktura docelowa: net8.0
Binding.0004,AutoGenerateBindingRedirects not set and no manual redirects,Active,Potential,1,Simulator\Commons\Commons.csproj,File,simulator\Commons\Commons.csproj,,,,,,,,"AutoGenerateBindingRedirects is not set in Commons.csproj, no manual redirects found"
NuGet.0001,Pakiet NuGet jest niezgodny,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,,,opendnp3 2.2.0-M1,,,,,"opendnp3, 2.2.0-M1  Rekomendacja:  opendnp3, 3.1.2"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,,,,,,,,Bieżąca struktura docelowa: net7.0 Zalecana struktura docelowa: net8.0-windows
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,150,46,T:System.Windows.Forms.CheckBox,,,,,checkBox7
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,149,46,T:System.Windows.Forms.CheckBox,,,,,checkBox6
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,148,46,T:System.Windows.Forms.CheckBox,,,,,checkBox5
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,147,46,T:System.Windows.Forms.CheckBox,,,,,checkBox4
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,146,46,T:System.Windows.Forms.CheckBox,,,,,checkBox3
